step,turn,player_hp_before,player_block_before,enemy_hp_before,enemy_block_before,enemy_strength_before,enemy_attack_intent,enemy_block_intent,enemy_strength_intent,enemy_vulnerable_before,energy_before,hand_strike,hand_defend,hand_bash,enemy_move,action,action_name,damage_before_block,blocked_damage,damage_dealt,damage_taken,enemy_block_gained,enemy_strength_gained,enemy_block_after,enemy_strength_after,enemy_vulnerable_after,player_hp_after,enemy_hp_after,reward,total_reward_after,done,win,next_state
10,5,37,5,27,0,2,8,5,0,0,1,2,0,1,Nibbit Turn 2: Attack 6 + Block 5,3,End Turn,0,0,0,3,5,0,5,2,0,34,27,-3.05,-9.55,False,False,"[34, 27, 0, 0, 2, 5, 2, 0, 3, 2, 3, 0, 2, 1, 1, 0, 0, 0]"
11,6,34,0,27,5,2,0,0,2,0,3,2,3,0,Nibbit Turn 3: Gain Strength 2,3,End Turn,0,0,0,0,0,2,5,4,0,34,27,-0.05,-9.6,False,False,"[34, 27, 16, 0, 0, 5, 4, 0, 3, 3, 1, 1, 1, 3, 0, 0, 0, 0]"
12,7,34,0,27,5,4,16,0,0,0,3,3,1,1,Nibbit Turn 1: Attack 12,0,Strike,6,5,1,0,0,0,0,4,0,34,26,0.95,-8.65,False,False,"[34, 26, 16, 0, 0, 0, 4, 0, 2, 2, 1, 1, 1, 3, 0, 1, 0, 0]"
13,7,34,0,26,0,4,16,0,0,0,2,2,1,1,Nibbit Turn 1: Attack 12,1,Defend,0,0,0,0,0,0,0,4,0,34,26,-0.05,-8.7,False,False,"[34, 26, 16, 0, 0, 0, 4, 0, 1, 2, 0, 1, 1, 3, 0, 1, 1, 0]"
14,7,34,5,26,0,4,16,0,0,0,1,2,0,1,Nibbit Turn 1: Attack 12,3,End Turn,0,0,0,11,0,0,0,4,0,23,26,-11.05,-19.75,False,False,"[23, 26, 10, 5, 0, 0, 4, 0, 3, 2, 3, 0, 2, 1, 1, 0, 0, 0]"
15,8,23,0,26,0,4,10,5,0,0,3,2,3,0,Nibbit Turn 2: Attack 6 + Block 5,1,Defend,0,0,0,0,0,0,0,4,0,23,26,-0.05,-19.8,False,False,"[23, 26, 10, 5, 0, 0, 4, 0, 2, 2, 2, 0, 2, 1, 1, 0, 1, 0]"
16,8,23,5,26,0,4,10,5,0,0,2,2,2,0,Nibbit Turn 2: Attack 6 + Block 5,0,Strike,6,0,6,0,0,0,0,4,0,23,20,5.95,-13.85,False,False,"[23, 20, 10, 5, 0, 0, 4, 0, 1, 1, 2, 0, 2, 1, 1, 1, 1, 0]"
17,8,23,5,20,0,4,10,5,0,0,1,1,2,0,Nibbit Turn 2: Attack 6 + Block 5,1,Defend,0,0,0,0,0,0,0,4,0,23,20,-0.05,-13.9,False,False,"[23, 20, 10, 5, 0, 0, 4, 0, 0, 1, 1, 0, 2, 1, 1, 1, 2, 0]"
18,8,23,10,20,0,4,10,5,0,0,0,1,1,0,Nibbit Turn 2: Attack 6 + Block 5,3,End Turn,0,0,0,0,5,0,5,4,0,23,20,-0.05,-13.95,False,False,"[23, 20, 0, 0, 2, 5, 4, 0, 3, 2, 2, 1, 2, 2, 0, 0, 0, 0]"
19,9,23,0,20,5,4,0,0,2,0,3,2,2,1,Nibbit Turn 3: Gain Strength 2,0,Strike,6,5,1,0,0,0,0,4,0,23,19,0.95,-13.0,False,False,"[23, 19, 0, 0, 2, 0, 4, 0, 2, 1, 2, 1, 2, 2, 0, 1, 0, 0]"
20,9,23,0,19,0,4,0,0,2,0,2,1,2,1,Nibbit Turn 3: Gain Strength 2,2,Bash,8,0,8,0,0,0,0,4,2,23,11,7.95,-5.05,False,False,"[23, 11, 0, 0, 2, 0, 4, 2, 0, 1, 2, 0, 2, 2, 0, 1, 0, 1]"
21,9,23,0,11,0,4,0,0,2,2,0,1,2,0,Nibbit Turn 3: Gain Strength 2,3,End Turn,0,0,0,0,0,2,0,6,1,23,11,-0.05,-5.1,False,False,"[23, 11, 18, 0, 0, 0, 6, 1, 3, 2, 3, 0, 2, 1, 1, 0, 0, 0]"
22,10,23,0,11,0,6,18,0,0,1,3,2,3,0,Nibbit Turn 1: Attack 12,0,Strike,9,0,9,0,0,0,0,6,1,23,2,8.95,3.85,False,False,"[23, 2, 18, 0, 0, 0, 6, 1, 2, 1, 3, 0, 2, 1, 1, 1, 0, 0]"
23,10,23,0,2,0,6,18,0,0,1,2,1,3,0,Nibbit Turn 1: Attack 12,3,End Turn,0,0,0,18,0,0,0,6,0,5,2,-18.05,-14.2,False,False,"[5, 2, 12, 5, 0, 0, 6, 0, 3, 2, 2, 1, 2, 2, 0, 0, 0, 0]"
24,11,5,0,2,0,6,12,5,0,0,3,2,2,1,Nibbit Turn 2: Attack 6 + Block 5,1,Defend,0,0,0,0,0,0,0,6,0,5,2,-0.05,-14.25,False,False,"[5, 2, 12, 5, 0, 0, 6, 0, 2, 2, 1, 1, 2, 2, 0, 0, 1, 0]"
25,11,5,5,2,0,6,12,5,0,0,2,2,1,1,Nibbit Turn 2: Attack 6 + Block 5,3,End Turn,0,0,0,7,5,0,5,6,0,0,2,-107.05,-121.3,True,False,"[0, 2, 12, 5, 0, 5, 6, 0, 2, 2, 1, 1, 2, 2, 0, 0, 1, 0]"
